1.00000000000e+03	1.994030e+00	0.000000e+00
1.01451300000e+03	2.023231e+00	0.000000e+00
1.02923800000e+03	2.053190e+00	0.000000e+00
1.04417500000e+03	2.082964e+00	0.000000e+00
1.05933000000e+03	2.112797e+00	0.000000e+00
1.07470500000e+03	2.142442e+00	0.000000e+00
1.09030200000e+03	2.173675e+00	0.000000e+00
1.10612600000e+03	2.205281e+00	0.000000e+00
1.12218000000e+03	2.236861e+00	0.000000e+00
1.13846700000e+03	2.268956e+00	0.000000e+00
1.15499000000e+03	2.301725e+00	0.000000e+00
1.17175300000e+03	2.336207e+00	0.000000e+00
1.18875900000e+03	2.368883e+00	0.000000e+00
1.20601200000e+03	2.403879e+00	0.000000e+00
1.22351600000e+03	2.438557e+00	0.000000e+00
1.24127300000e+03	2.473884e+00	0.000000e+00
1.25928800000e+03	2.508711e+00	0.000000e+00
1.27756500000e+03	2.545295e+00	0.000000e+00
1.29610700000e+03	2.582152e+00	0.000000e+00
1.31491800000e+03	2.619366e+00	0.000000e+00
1.33400200000e+03	2.656895e+00	0.000000e+00
1.35336300000e+03	2.695013e+00	0.000000e+00
1.37300500000e+03	2.734561e+00	0.000000e+00
1.39293200000e+03	2.774683e+00	0.000000e+00
1.41314800000e+03	2.814754e+00	0.000000e+00
1.43365800000e+03	2.854636e+00	0.000000e+00
1.45446500000e+03	2.896214e+00	0.000000e+00
1.47557500000e+03	2.937939e+00	0.000000e+00
1.49699000000e+03	2.980093e+00	0.000000e+00
1.51871700000e+03	3.024382e+00	0.000000e+00
1.54075900000e+03	3.067114e+00	0.000000e+00
1.56312100000e+03	3.111910e+00	0.000000e+00
1.58580700000e+03	3.157539e+00	0.000000e+00
1.60882300000e+03	3.202101e+00	0.000000e+00
1.63217200000e+03	3.249075e+00	0.000000e+00
1.65586100000e+03	3.295539e+00	0.000000e+00
1.67989300000e+03	3.344243e+00	0.000000e+00
1.70427400000e+03	3.393100e+00	0.000000e+00
1.72900900000e+03	3.440239e+00	0.000000e+00
1.75410300000e+03	3.490772e+00	0.000000e+00
1.77956100000e+03	3.540951e+00	0.000000e+00
1.80538900000e+03	3.592357e+00	0.000000e+00
1.83159100000e+03	3.644139e+00	0.000000e+00
1.85817400000e+03	3.697947e+00	0.000000e+00
1.88514200000e+03	3.750929e+00	0.000000e+00
1.91250200000e+03	3.804889e+00	0.000000e+00
1.94026000000e+03	3.859475e+00	0.000000e+00
1.96841900000e+03	3.916654e+00	0.000000e+00
1.99698800000e+03	3.973038e+00	0.000000e+00
2.02597100000e+03	4.030271e+00	0.000000e+00
2.05537500000e+03	4.088408e+00	0.000000e+00
2.08520600000e+03	4.147230e+00	0.000000e+00
2.11546900000e+03	4.207395e+00	0.000000e+00
2.14617200000e+03	4.269063e+00	0.000000e+00
2.17732100000e+03	4.330835e+00	0.000000e+00
2.20892100000e+03	4.392821e+00	0.000000e+00
2.24098000000e+03	4.456871e+00	0.000000e+00
2.27350500000e+03	4.522037e+00	0.000000e+00
